Comment,Designator,Footprint,LCSC
GCM1555C1H102FA16D,C1,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C2,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C3,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C4,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C5,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C6,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C7,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C8,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C9,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C10,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C11,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C12,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C13,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C14,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C15,C_0402_1005Metric,C1546
GCM1555C1H102FA16D,C16,C_0402_1005Metric,C1546
GRM21BZ71E106KE15K,C17,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C18,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C19,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C20,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C21,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C22,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C23,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C24,C_0805_2012Metric,C15850
GRM1555CYA103GE01D,C25,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C26,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C27,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C28,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C29,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C30,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C31,C_0402_1005Metric,C15195
GRM1555CYA103GE01D,C32,C_0402_1005Metric,C15195
GRM21BZ71E106KE15K,C33,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C34,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C35,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C36,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C37,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C38,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C39,C_0805_2012Metric,C15850
GRM21BZ71E106KE15K,C40,C_0805_2012Metric,C15850
47uF 0805,C41,C_0805_2012Metric,C16780
GCM155R71H104KE02D,C42,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C43,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C44,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C45,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C46,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C47,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C48,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C49,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C50,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C51,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C52,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C53,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C54,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C55,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C56,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C57,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C58,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C59,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C60,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C61,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C62,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C63,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C64,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C65,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C66,C_0402_1005Metric,C307331
GRM188Z71A106KA73D,C67,C_0603_1608Metric,C19702
GCM155R71H104KE02D,C68,C_0402_1005Metric,C307331
ERJ-2RKF7501X,R1,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R2,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R3,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R4,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R5,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R6,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R7,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R8,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R9,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R10,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R11,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R12,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R13,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R14,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R15,R_0402_1005Metric,C25890
ERJ-2RKF7501X,R16,R_0402_1005Metric,C25890
ERJ-2RKF1004X,R17,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R18,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R19,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R20,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R21,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R22,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R23,R_0402_1005Metric,C25731
ERJ-2RKF1004X,R24,R_0402_1005Metric,C25731
ERJ-2RKF1002X,R25,R_0402_1005Metric,C25744
ERJ-2RKF1002X,R26,R_0402_1005Metric,C25744
600R 0402,R27,R_0402_1005Metric,C25618
600R 0402,R28,R_0402_1005Metric,C25618
600R 0402,R29,R_0402_1005Metric,C25618
600R 0402,R30,R_0402_1005Metric,C25618
600R 0402,R31,R_0402_1005Metric,C25618
600R 0402,R32,R_0402_1005Metric,C25618
600R 0402,R33,R_0402_1005Metric,C25618
600R 0402,R34,R_0402_1005Metric,C25618
ERJ-2RKF1001X,R35,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R36,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R37,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R38,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R39,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R40,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R41,R_0402_1005Metric,C11702
ERJ-2RKF1001X,R42,R_0402_1005Metric,C11702
NE5532DR,U1,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U2,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U3,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U4,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U5,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U6,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U7,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U8,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U9,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U10,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U11,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U12,SOIC-8_3.9x4.9mm_P1.27mm,C7426
NE5532DR,U13,SOIC-8_3.9x4.9mm_P1.27mm,C7426
